account_id,threat_level,failed_transactions
C384995185,1,3
C275310709,66,29
C1727565779,56,3
C2012918994,22,1
C508045585,23,0
C128992115,17,2
C44272031,14,4
M826692667,3,1
C1299372261,83,3
C1361668609,1,13
C512053287,0,3
C1002746543,22,0
C649192368,14,0
C298747323,7,3
C1869164822,25,12
C329322713,23,2
C335838889,27,4
M615424881,10,2
C1491924500,20,3
C2142154737,20,0
C1584945203,37,3
C442712464,12,4
C457152861,90,4
C450487671,27,4
M807844487,24,3
C978079979,7,2
M1851436372,1,0
C1853178549,2,11
C1981400313,12,1
C50223905,10,3
C1535946302,71,2
M208369630,20,0
C1811079479,47,1
C722787198,59,4
C369669301,6,2
C1188878028,25,11
C1873532764,66,4
C1160105017,14,44
C1608708852,45,4
M1413968134,17,4
C78700034,17,6
M1599944780,32,4
C591336879,29,1
C411617145,83,0
C1373951398,1,2
C1132367788,22,4
C1111806804,47,13
C360625359,27,0
C49635489,45,0
C1308497108,12,4
C1237995678,21,0
C58703884,23,0
C1273338204,1,2
C1409628149,19,11
C170219617,5,24
C1448724723,6,0
C1825851209,43,2
M948949748,22,4
M429553214,55,2
C1125639534,10,14
C1762822876,18,2
C1135097347,14,0
C127795331,17,4
C2031368275,15,7
C693486169,16,3
C275137828,22,2
M696998788,6,2
C1231621270,24,17
C1495752272,28,5
C419468989,3,13
C193219573,93,3
C575089059,22,4
C677415412,24,3
C1980064821,14,1
C198453853,19,4
C881281051,15,2
C1151263496,11,0
C1876975794,28,4
C1011598972,98,0
C588015952,2,3
C146751218,18,4
C21837280,13,12
C1925188324,6,2
M293968324,13,0
M1192790133,59,4
M81966105,9,2
C252091379,36,3
C1839731179,20,2
C294599508,13,10
C1751990657,22,2
C1772200543,0,2
C1087976035,21,4
C1546795369,27,4
C188064621,19,6
C586446590,0,1
C410630241,12,4
C191719696,31,0
C1395050466,9,0
C1841697225,22,14
M2082818331,9,0
C1566718553,17,2
C1071813500,39,3
M873938524,8,1
M984443129,15,4
C1602540157,35,14
C1225529288,19,3
M291586831,16,1
C697373134,1,2
C987019949,19,2
M316369935,18,3
C1734542824,13,3
C224049306,17,2
C683609574,13,2
C1577873680,29,39
C2128931641,12,12
C2055702807,1,3
C569167831,4,4
C910214264,32,4
C717731676,47,2
C2054589884,17,1
C945297471,22,3
C1492164665,10,4
M2101002868,8,4
C2060640282,3,4
M1071356506,63,2
M93973649,19,0
M946723175,4,4
C1833436916,14,0
M1846829892,23,0
C1367284336,11,3
C1844657396,58,4
C1301705076,9,1
C541630708,15,4
M805855082,33,1
C1956897867,12,0
C1861975095,8,3
M1392498684,13,1
C1566742271,21,4
M835522713,48,3
C1637066149,54,1
M1390595525,8,1
C2045811975,46,4
C760286982,26,4
C1882367955,1,14
C1466409524,6,3
C2087658005,22,7
C948734440,14,9
C1407596337,9,3
C1858108162,76,3
C456893117,25,12
C440055052,32,0
C813992358,10,28
C893563538,81,0
C896636952,21,0
C1893337612,17,1
C1250919006,21,6
C1498875416,48,3
C1837034770,23,3
M66880029,10,3
C946948193,52,3
C293113182,12,11
C1480353410,12,2
C1161025030,90,3
C2093557972,0,0
C1709129675,2,1
C1982222991,14,3
C710215085,25,6
C325331870,21,0
C1143304222,8,12
C811458085,13,3
C442707835,6,5
C732382564,31,0
C1942424127,19,4
C135254299,26,4
C231178609,28,1
C813462601,8,0
M1963682543,2,0
M350373663,20,12
C1020267430,9,23
C1751146233,27,1
C651385936,55,4
C2124965935,10,0
M968163350,19,4
C567057511,17,3
C1274510679,58,4
C1836239268,36,0
C772494114,4,0
C1195194203,11,1
C1124386413,20,10
C2109509296,21,5
C1624170480,5,35
C1287223284,2,3
C1372628002,29,3
M71118301,11,4
C1373878351,23,10
C698097548,89,3
C328883693,26,25
C1929531778,1,3
C1422578123,2,3
C1054150826,28,1
M558571018,17,2
C1917256481,4,1
M2024312348,24,2
C630589116,37,33
C984732916,42,41
C795995217,2,0
C1591594425,35,4
C531932437,8,2
C82049084,68,15
C1998528510,13,1
C1724077414,8,4
C1851668139,15,4
C25692977,20,0
C1319575561,21,3
C664179089,13,4
C1160831625,5,4
C258355891,13,2
C2041863944,29,2
C1519454953,33,1
C1358484662,26,1
C1361499282,59,6
C532401631,39,1
C196224476,26,6
C1787256392,27,2
C1953809031,54,3
C1862349297,17,3
M262054873,21,4
C1266731860,20,1
C382317591,21,3
C1102113122,37,4
C963880677,24,3
C1659019586,13,10
C58142999,65,2
C426265650,50,4
C1071081889,57,6
M1982065499,16,4
C156263099,62,3
C1980807641,32,0
C1891065476,22,3
M1595980488,29,1
C150279985,8,4
C1655708888,12,2
C912235045,26,14
C1982753296,35,1
C1620047929,27,10
C1064143575,3,4
M1246560369,12,3
C458303439,25,1
C200135866,45,1
M1421554563,54,8
C1912262715,95,2
C1659791860,8,2
C1315263269,28,0
C593846895,20,0
C761922099,21,4
M1410682976,3,0
C308913204,4,6
C166951275,12,7
C410307630,7,2
C832994416,36,0
C365861332,26,6
C1214376851,3,3
C455134566,44,4
C1729846858,7,34
C669542128,14,2
C1290190637,25,2
C507438063,51,3
M65077964,8,0
M1612287171,9,15
C287313326,4,1
C103679971,9,2
C2026868347,47,3
C993828755,90,4
C108166363,23,4
C239130588,11,6
C1077256301,23,0
C1992683790,11,1
C1712968871,58,6
M902194188,34,1
C1464798847,46,4
C306274214,27,2
C1856505882,11,9
C1733525467,12,0
C247352056,64,1
C631063987,6,3
C969260393,29,7
M1158920358,5,2
C1440901488,5,4
C1565443320,53,11
C1039809648,18,0
C1482588403,94,3
C1715795933,6,3
C1678608442,29,18
C372189205,22,0
C1380344490,99,3
C834706204,36,4
C1078653673,15,14
C1339364565,10,8
C1628120686,15,2
C1482453836,17,8
C158424358,27,2
C1564426791,60,1
C690668049,18,0
C194888198,28,3
C904861071,8,2
C1465691990,8,4
C1776259976,20,3
C1396265973,25,11
C1911575281,89,11
C1323629787,23,4
C47978535,27,3
C290377978,0,1
C1878979532,24,4
M487369689,2,3
C423483729,32,1
C2029798887,41,2
C1468727512,48,0
C269911083,31,8
C835762701,21,0
C1333139919,1,3
C1140883229,5,3
C1369113937,12,2
C21687387,13,14
C534658891,8,4
C1233889352,35,11
C349790789,93,0
C389749167,29,3
C936929482,8,1
C439964244,30,4
M1069565328,27,1
M800736567,14,1
C1574891182,23,2
C743444789,13,0
C1175190739,1,10
C1993760024,2,3
C1802277412,2,2
C1730860996,3,0
C1291955358,23,0
C1103937856,12,4
C2124742194,25,7
C54378528,98,1
C442361312,22,3
M1135532349,18,0
C11945612,41,39
C468576330,85,4
C1718848488,4,12
C1526528147,34,3
C390500982,22,3
C512916927,10,3
M1766453430,22,8
C173814926,75,37
C263177591,90,3
C1501912774,6,1
C1540194242,21,2
M1132708466,56,2
C884516848,5,0
C103927125,66,4
C1160196127,46,0
C644196561,55,6
C516571016,25,2
C1047516505,37,12
C1450133015,51,2
C1743043296,55,42
M2070560577,12,0
C530832286,10,13
C940557262,12,4
C420402139,13,4
C1407716355,82,0
M1791710577,25,4
M1337118513,92,3
C1360951164,3,1
C1241387671,17,3
M807098558,33,2
C1725934011,19,29
C1575202335,2,34
C408337694,25,0
M548036577,44,1
C830735149,28,3
C1151504912,13,44
C1377068759,10,32
C860222502,28,3
M1506573078,44,2
C173082045,48,2
C2087574919,24,2
C1431159714,21,0
M1760590622,10,12
C1409768168,26,2
C267620069,22,0
C1246830117,10,4
C165778287,2,3
C1569422485,5,3
C253218862,9,2
C900612177,23,42
C933364457,0,9
C901053131,17,4
C1216187801,90,2
C356947668,8,4
M1469830730,26,2
C1336679400,41,0
C267148858,13,11
C1992085447,29,1
C331007844,33,0
M1906222968,59,3
C1051793788,28,4
C1821277695,19,2
C1982156422,58,6
C432374768,1,2
C502015039,14,0
C1304351412,89,1
C39606716,16,3
C934595270,5,0
C807498510,14,3
C1183023515,21,3
C363312175,12,0
M1909505669,7,0
C1136638605,28,39
M1853136095,57,3
C1918005032,17,3
M1911653688,57,6
C1522158031,5,4
C21910052,24,1
C1008463538,11,3
M2114087099,8,1
C1782217797,15,1
C1804214408,67,2
C811603478,57,2
C1357820632,28,8
C1547408550,63,1
C1980232035,17,0
C1488402147,73,3
C1862839091,23,3
C1360249571,12,4
C92298439,71,4
C681790207,25,3
C80114105,7,1
C1620862164,29,4
C676611824,36,19
M1142014143,74,2
M1725448753,12,1
C940757373,20,0
C1931919811,2,3
C1530315696,53,2
C1673866870,17,2
C1470115602,17,3
C98982423,15,3
C1624084184,16,14
C1782826224,64,3
C453192520,47,6
C1887747051,0,0
C278762496,60,4
C1102054838,55,4
C476195350,40,4
C428576161,76,0
C945064086,5,0
C768812583,20,4
C356712978,1,0
C217441120,6,4
C1304228248,18,6
C1156049302,44,4
C630907376,91,1
C377894520,18,0
C537711576,0,1
C1452868842,9,3
C627997893,16,4
M902674570,20,0
C180544907,56,2
C2109141810,27,0
M920821531,79,4
C1229047334,12,2
C530072092,10,3
C877170831,22,2
C1780800409,4,2
C171929683,12,1
C1727562152,14,3
C1997834574,5,3
M17725683,7,9
C780573530,58,4
C1336940766,45,6
M1029096160,47,9
C835495003,26,11
C2079922010,85,14
C513898272,41,2
C1379459935,19,1
C1780378261,22,1
C905529334,10,4
C1673721177,7,3
C1811560461,65,1
C1319321444,2,7
C1079554968,33,3
C1367304983,44,3
C1276777256,7,1
C323429226,6,6
C1916960269,5,3
M1126144597,20,1
M762931038,12,1
C852343274,31,1
C1182319302,6,8
C1992703473,15,2
C591801783,7,4
C834409279,32,2
C271777366,49,3
M281025977,14,2
C70728199,41,1
C1503200935,18,0
C94639952,16,0
C837279106,18,1
C1960340335,84,3
M1082707724,25,2
C1242540100,19,4
C1013629025,85,4
C197720972,5,3
C1158705084,98,2
C1247175695,14,5
C1874655102,22,0
M402867828,51,4
C1648326862,4,2
C718175423,50,1
C1574976629,12,4
C2044410449,20,1
C482844162,60,3
C1196988042,21,4
C961544544,2,0
C929302390,76,17
M1085924170,32,4
C1387293559,4,9
C436826964,11,0
C1463568092,34,3
C1319928126,46,4
C2038073836,1,4
C401089835,6,28
C989269409,29,1
C2019510245,29,4
C715967819,23,0
C1412487176,78,1
C506352184,36,13
C1400045982,10,0
C913141868,9,2
C1318760879,20,2
C1369638701,18,5
C1574852555,0,2
C574993021,58,26
M666283018,40,2
C103497257,35,0
C797336830,94,5
C1850753027,11,1
C655190486,17,2
C1524444688,2,4
C992196699,27,4
M704777318,6,3
C1607070477,30,0
C825000143,14,4
C1499306907,49,4
C228292582,2,0
C1103428539,11,3
C1215466438,3,6
C1154844615,46,0
C2114044935,95,4
M1133044819,19,5
M1246536562,24,0
C418888843,0,15
C1264290289,19,2
C1581876009,59,0
C467502918,21,4
C832919492,71,1
M935390525,46,2
C1608317818,29,3
C560999780,8,1
C628640378,96,3
C1102975833,97,4
C1977793903,66,1
C1392772293,28,2
C1153266595,10,49
C1084600111,39,4
M937185628,4,0
C2056973088,86,1
C1142709949,1,9
M1618864357,60,6
C1578662968,11,0
C1364408007,87,0
C1206333332,29,11
M1235800881,4,4
C166141555,43,2
C103180613,15,4
M1060768565,6,0
C264272448,87,0
C668799417,25,3
C1137693330,52,13
C642508640,53,0
C1532259222,48,3
C1961083436,22,18
C1907159141,26,0
C291734578,7,13
C256935457,6,34
C385988857,52,4
C1440503,38,2
C214763644,0,1
M149853303,38,3
C1392399331,53,3
C1479501169,93,0
M959266883,26,2
C2126852319,22,2
C425031454,28,7
M1933340167,15,1
C998650082,33,4
C151339941,13,3
C34034576,46,0
C2082295301,24,4
C1180598538,9,0
C257319898,16,2
C551968926,11,2
C759404685,4,2
C107615831,18,12
C1226866243,17,0
C71682326,45,16
C555078226,67,3
M27123041,28,6
C1652804265,6,0
C2022703990,14,1
M313944811,59,5
C2016238294,28,3
C1141504197,18,4
C568138943,35,2
C685427542,3,0
C1465376610,1,1
C82699136,73,0
C538228600,77,3
C1235149564,42,0
M168689650,13,2
C1635424502,20,36
M380479545,14,4
M622035672,13,0
C1904293570,14,0
C2098376120,55,3
M1524923419,26,0
C780079840,68,0
C1635008364,24,1
C236066171,23,0
M555048766,26,3
C2018283179,37,2
C1882186511,80,10
M2078509185,16,1
C2087145077,9,6
M1231019062,2,10
M1012248200,6,3
C1874994820,29,2
C1912119776,91,1
M2130604917,42,0
C787135844,23,8
C1890858479,58,14
C834781036,12,2
C1038478460,17,4
C1002747965,28,0
C684857526,15,5
M1644043792,15,10
C61735013,35,4
M741559922,4,1
C655944279,33,1
C137328414,89,4
C1813622839,21,4
C1076978731,47,1
C1398985795,76,0
C1636959323,16,4
C1105435526,13,2
C1857792363,19,2
C1657530295,6,3
M851233108,36,11
C52054209,0,1
C551591726,77,3
C1496833672,65,4
M1376927405,15,0
C254366528,69,4
M667378715,27,33
C659404783,29,3
C958980274,22,9
C754519223,51,1
C1750457298,20,4
C416539734,14,9
C365085229,11,1
C1934554626,1,2
C225369647,14,4
M704765160,21,2
C2039894074,18,5
C208198098,29,2
C32035288,15,3
C1701812865,10,0
C2083361536,28,0
M689752836,9,0
C1825311640,70,6
C924381532,32,0
C974295464,55,1
C1295754252,94,2
C890018624,20,0
C43530816,53,3
C1921264987,36,0
C1524966701,3,0
C549291064,26,41
C1715008010,7,7
C2017590293,32,17
C1282254449,56,4
C396158738,67,1
C69729624,1,2
C921874196,19,1
M1067946834,79,29
C168250612,48,2
C126227783,9,3
C692928820,70,0
M1692283149,18,4
M84392895,64,11
C1813726223,27,0
C1649422118,81,0
C662662466,8,1
C1212610718,15,0
C1860471678,55,2
C2052415686,8,1
C339189440,28,9
C1239059271,29,4
C94303206,53,0
M2021752192,6,3
C1616481166,22,0
C493496947,3,4
C1197431821,33,0
C1494824888,98,2
C212899515,50,4
C122677027,18,13
C1513393712,23,10
C1218883133,20,0
C881927745,7,13
C1978245580,14,3
C2130821669,95,3
C1161865950,22,0
C2096340699,3,1
C747418174,13,0
C1259697063,22,4
C1936611218,2,3
C851526274,24,0
C848146496,73,14
C1166818683,11,0
C1057625091,0,3
C2072556922,5,3
C1503684659,15,2
C1983934079,11,2
C1562260389,4,2
C2098480854,0,6
C1760805298,26,11
C1696505996,9,4
C272661556,43,4
C1959788938,30,2
C462376483,45,8
C1465439611,23,1
C835399572,20,4
M302202303,55,1
C1478297748,16,0
C630264516,27,0
C703208049,11,6
M165559367,24,7
C332027313,21,2
C1620609673,11,0
C1190661125,28,4
C1410048953,37,0
C307913389,21,7
C999072632,18,0
C2014064154,0,4
M1550706263,9,4
C943652374,14,0
C1686740266,70,7
C682654273,6,2
C1086411656,13,0
C624440663,8,4
C1422834015,81,1
C118702880,25,1
M1857978899,11,2
M549407587,12,0
C1078858029,9,3
C397180558,5,2
C1752261675,3,42
M1069642726,5,3
C2024744108,17,1
C1910615183,8,12
M1213635424,23,4
C1199777886,27,1
C244878816,66,2
C1106396870,99,0
C1483545077,33,3
C451575416,1,8
C2019685586,30,0
C1844897892,20,1
C737489499,16,44
C1818422389,84,4
C896387136,13,0
C412276972,68,2
C46820893,13,10
C788103696,78,3
C126857643,3,2
C1993805294,31,8
M1380530548,4,0
C2132856872,55,8
C2045137159,26,4
C1888449495,12,2
C1227441452,10,0
M362869263,57,0
C567235132,48,1
C1366672748,2,1
C1507825825,11,1
C955591512,5,2
C780936986,26,14
C1590674884,96,3
C602402217,27,2
C103674273,4,0
C302377152,19,4
C831993978,7,1
C598019339,23,0
C66940898,48,3
C367612022,28,0
C725522282,11,3
C169677648,19,10
M1561689850,1,1
C1686963547,9,1
C1281329764,57,3
C922535914,4,1
C336748499,45,4
C178998027,45,3
C67225094,18,4
C1868864904,24,2
C1467974652,4,1
C676575763,36,4
M2001571468,10,9
C1838852961,71,4
M2036096458,18,4
C68418619,96,0
M1895505489,2,1
C1198991662,3,31
C2141483014,0,4
C1786815324,56,12
C2079014670,4,3
M1453405376,90,2
C1901855972,21,9
C1752217253,28,1
C1704705883,0,1
C1964186862,24,1
C728515752,11,3
C1309724652,5,4
M2108611993,10,4
C1468842044,6,8
C2028799474,24,0
C1083447671,3,0
C1635608986,62,4
M1737081711,7,0
C2029310301,7,9
C881547021,16,3
C1011627421,49,1
C663209909,3,2
C446561726,44,2
C1652275651,7,37
C1329139492,19,4
C1044547981,6,4
C1725814735,9,43
C74323680,50,13
C1402968632,7,1
C199707137,16,3
C1180559283,16,4
C1372340885,23,3
C32046347,61,0
C1705614277,11,1
C22145926,95,7
M1078399477,28,4
C73466523,26,1
C2113990819,26,0
C107374289,10,0
C188121685,9,13
C606932522,1,3
C1861436758,74,0
C1204908486,16,3
C1790623534,44,14
C702718253,59,4
C179869239,24,3
C985100114,6,3
C1611769290,28,7
C2140905252,83,1
C1422451970,15,0
C1473599760,28,40
C350726416,5,9
C775162601,11,2
C1886847400,57,0
M1415956989,19,0
C2093596165,23,2
C727130924,34,4
C499122971,0,3
C1607845825,30,4
C1389348424,11,4
M390311330,47,1
C2087777324,57,5
C1446304183,12,3
C1456746018,59,4
C1033493006,6,3
C353222616,11,10
C1185468609,58,0
M100668332,10,3
C1247722789,77,2
C473607124,17,3
C1878780030,26,9
C207635112,31,0
C186948686,51,3
C592838912,3,2
C1148085469,18,4
C1185025461,25,14
C1155129042,18,0
C1023069642,80,0
C461571832,62,40
C1771916979,3,0
C1467506343,11,2
C1042391241,5,4
C1259154516,24,11
C1119983443,12,4
C1438799187,15,5
C1752801289,32,2
C2074646158,26,0
C156348350,12,1
C399011532,16,3
C1465896918,24,2
C1422268156,25,4
C56494838,15,2
M1127112940,1,1
C1174768677,1,4
M1641412071,2,3
C596032334,46,0
C380436221,0,2
C1236075369,30,1
C743347631,27,4
C1253098081,51,31
C1108259112,24,3
C1788267967,27,11
C1148585610,0,1
C613771809,16,4
C2045649928,20,2
C1927674709,13,1
C721221449,20,17
C1192010011,46,0
M1748560512,26,0
C887071858,1,10
C1978041486,17,1
C1709794,29,0
C365172485,22,2
C571617512,16,11
C203215838,13,1
M1421959804,2,0
C1760871426,52,12
C1639044103,27,1
C543280844,2,37
C500675514,7,4
C416712462,28,0
M1236855401,26,4
C1033319193,1,0
C2119788875,21,1
C1198101265,46,15
C528702862,71,4
C1398042532,30,3
M133687026,29,2
C1543604434,26,3
C1354200242,83,1
M2063768209,22,3
C22824132,48,4
C839152677,17,9
C1124126226,21,28
M398308217,45,1
C104187082,1,3
C119500999,25,4
M548115384,17,2
C566994020,14,1
C1630613584,57,1
C1683234279,27,4
C254374462,95,2
C688499127,57,3
M1068734353,31,4
C1837266943,37,9
C712950900,19,2
C128695152,27,0
C946777990,26,3
C1661326816,99,1
C375669915,8,4
C142288054,13,0
C1798471845,41,4
M1046050536,7,10
M537529482,75,2
M86564589,18,0
C460498904,71,3
C985149816,19,3
M1358693825,55,3
C1249969676,16,3
M413644563,26,1
C1241779064,47,1
C466301184,7,1
C364726328,5,1
C738719997,5,2
C1469683157,13,2
C2035859553,40,1
C1300061230,3,49
C583786481,25,1
C1910055812,43,4
C1538264524,12,14
C1719417227,44,2
C1831537770,23,3
C1324163452,4,2
M871420204,38,0
C294381358,7,4
C813556952,29,0
C1421121429,12,3
C509079360,65,1
C1561711318,5,4
C1747656115,10,4
C788373773,9,4
C1421531832,51,4
M584816461,84,2
C1388837580,53,2
C581238989,5,4
M1677494785,94,1
C1671255256,24,11
C1766973538,86,2
C1839934859,57,0
C1834699516,2,4
C192796860,16,36
M258224921,16,4
C1305087680,11,2
M115160150,21,0
C1301073070,59,34
M378197996,1,7
C1253915610,14,4
C1256410677,19,3
C1343973831,15,0
C1390248643,25,2
C688007133,16,46
M271766062,25,4
M1214080424,56,10
C1211194361,10,6
C716926264,3,1
C1578458120,9,0
C2002073407,8,0
C2144185328,88,4
C1101130000,25,2
C142585591,23,3
C320021455,93,2
C2118329696,5,4
C1194297436,92,1
M1621237988,18,2
C1539255891,7,0
C1007771989,18,0
C375122858,14,0
M2022151355,4,0
C793127417,8,4
C1881074975,11,4
M1831142493,59,2
M889837385,93,9
C81839126,13,2
C187777971,11,4
C1295229803,16,43
M331838963,47,0
C1412942934,27,1
C1967296236,53,4
M539254793,16,3
C435044556,20,0
C1003377863,14,3
M1147328357,12,4
C567831055,24,47
C1908782637,13,0
C1113975097,0,2
M115107676,7,1
C1969593332,4,0
M1694055863,10,1
C554123968,24,1
C55040366,50,4
M197290098,11,1
C1577100836,10,3
C1142708145,5,2
C2081610387,31,10
C1431986042,23,0
C1384252519,25,5
C1665128532,2,2
C723392187,2,0
M1638596435,16,5
C1720113919,6,4
M110030014,0,4
C193546785,71,5
C45445256,43,6
C1339104095,37,12
M1732893404,14,12
C1437493877,2,13
C340441379,27,0
C1232972893,20,2
M317794638,9,1
M1096369871,7,3
M1610335340,15,4
C1896759768,56,6
C1784658011,9,4
C979473284,12,3
C1208351860,22,3
C471280264,2,3
C160221575,46,2
C578928207,22,3
C900900096,80,1
C1239497759,20,0
C2077946331,48,3
C1497510951,49,32
C2125692595,24,3
C1059505766,2,1
M1727528188,17,1
C1690604100,29,3
M1495507565,10,5
C261129457,24,10
C1185591715,6,1
C848749064,26,1
C1612941843,12,0
C251084953,75,7
C1844888037,21,0
C599933170,31,1
M1164113503,78,4
C1430228862,12,14
C1371920863,29,8
C1051010988,54,3
C804811460,5,2
C1430482687,19,3
C818905702,0,4
C365472573,10,2
C493261161,28,1
M1018087579,19,4
C1950773491,16,3
C1860730063,2,0
C533248747,33,0
C1983454169,50,2
C1759329230,40,2
C652693668,3,0
C718052887,6,2
M1577546853,16,6
C1644576644,11,4
M1453623442,82,1
M906132879,28,1
C311957926,15,0
C1123233446,11,0
C581415800,20,0
M1057928293,11,10
C1712808449,83,2
C445430208,7,1
M1395314815,6,12
C527557667,9,3
C77077379,58,2
C1293048751,23,1
C1105524163,27,1
C1444444267,46,1
C1538257572,16,27
C1716831828,22,2
C1387110969,51,2
C178797605,2,0
C931913954,2,3
C1003659118,18,1
C237381274,82,4
C1269522197,17,4
C874020343,11,8
C2136979324,15,11
C1645487871,53,2
M2079443692,24,11
C1657390496,94,3
M1937099013,8,12
C866760475,29,2
C1975769149,45,5
C678805890,26,12
C878832468,12,1
C1025829804,21,4
C1235622131,56,0
C1352990859,21,3
C1564904894,7,0
C1754062231,5,5
C1615531066,5,3
M1601412791,28,3
C1896078095,6,30
C27726123,21,0
C1242095819,24,2
C784168683,49,8
C686489064,23,4
C1794060016,59,4
C1397012820,50,3
C79653418,4,3
C1414721889,23,3
C1029881770,93,1
C761344208,24,1
C1635105663,36,19
C928482668,6,3
C1293276296,55,0
C1828041262,3,1
C710127842,74,23
C1079987812,25,3
C464201513,42,4
C1155896622,26,4
C313439652,17,4
C353071621,28,4
C586752646,14,2
C44068362,16,8
C1121573540,12,0
C1770053310,36,0
C746912982,6,4
C2037736375,48,0
C712759345,10,1
C1483387344,56,2
C1824827873,60,3
C1915085683,21,4
C675719787,58,8
C986589210,10,4
C1932573479,50,3
C1646443611,42,4
C1375443971,17,2
C830168460,32,13
C727669310,10,1
C36939453,13,6
C1421681477,97,0
C1774824672,6,3
M1286147247,22,32
M994065534,9,3
C1937881492,18,1
M1243608947,10,10
C573017234,22,0
C1164954150,5,0
C1337729601,28,5
C1015227078,26,2
M783544458,23,2
C1028826426,5,1
C1552058724,19,5
M1766089679,3,14
C915218350,51,8
C672472211,7,3
C1588734660,45,1
C1758587377,32,21
C415455422,9,4
C607931779,15,0
M966161615,50,4
C210740885,20,1
C1971489295,4,14
M1072478053,2,1
C1644249553,54,0
M1109188885,2,1
C1642432032,9,2
C647071142,13,11
M958945811,25,4
C1913306809,12,0
C1741423341,2,13
C1983152097,29,1
C1545144095,29,23
C497939951,13,4
M2039821257,48,44
C392561927,18,4
C812194015,56,5
C1910505642,29,1
C1347105871,55,2
C559199633,8,4
C886968775,0,4
C1620306147,56,4
C1369191429,4,0
M970616496,29,3
C1882848075,56,0
C1974124706,64,4
C1762101989,18,3
C633953276,44,5
C1418654311,54,6
C230952860,11,0
C1794107733,26,0
C1906469429,23,3
C1914474712,12,14
C912083936,2,0
C795527201,0,3
C1728110094,9,2
M1411641788,51,3
C1161339025,12,2
M618754081,25,3
C257884050,90,11
C502411323,53,13
C91446082,49,3
C917564615,1,7
C389367706,52,30
C660232503,29,0
M120287529,35,4
C1339173549,94,10
M150332322,15,0
C2022873679,19,0
C878695338,19,2
M1130204458,81,4
C1174392159,6,4
C1940332171,30,4
C1590096196,10,1
C1350438562,26,3
C516459714,6,1
C872973306,17,2
C1839431752,22,4
C1324750177,12,4
C1382345621,13,2
C814296672,4,1
